评论ID,酒店ID,酒店名称,用户昵称,评分,评级,评论内容,入住日期,评论日期,房型,有用数,图片列表,视频列表,酒店回复内容,酒店回复日期,酒店回复IP,用户评论数,用户头像,语言,满分
1966964079,404956,昆明中维翠湖宾馆,M544361****,4.7,超棒,"地理位置无与伦比，历史文化底蕴丰厚，软环境和服务超一流的酒店。

多次入云南，昆明都是必经之地。翠湖作为昆明之眼，也是一定不能错过的地方。 在房间里就能看翠湖满池的荷花，翠湖宾馆应该是唯一的一家吧。

酒店作为建于上世纪50年代的老牌五星，设施维护算是做得不错的了。即便如此，时间的皱纹还是会偶尔在不经意处冒出来。 不过，酒店的所有服务人员都训练有素，响应及时，确实有让人宾至如归的体验。 尤其感谢一位相识于偶然的资深首席经理，张灿。 当他得知我们想看看酒店的历史回顾展时，还特地在忙完了手头的工作后到展区找我们，热情的向我们介绍翠湖宾馆过去70年的发展史（照片里的黄花梨雕花床就来自展区，复刻的是当年法国驻滇总督方苏雅的卧榻）。

总之，下次再来昆明，应该就是住这里了。",2026/5/1 0:00,2026/5/31 11:52,商务城景大床房,0,https://images4.c-ctrip.com/images/0233j12000snhxkb3E328_R_150_150_R5_Q70_D.jpg; https://images4.c-ctrip.com/images/0231e12000sni2xg0F926_R_150_150_R5_Q70_D.jpg; https://images4.c-ctrip.com/images/0231i12000sni2ibmCCFD_R_150_150_R5_Q70_D.jpg,,,,,20,https://dimg04.c-ctrip.com/images/27c0712000na9ji5b4486_C_130_130_Q70.jpg,CN,5
1967821995,404956,昆明中维翠湖宾馆,匿名用户,5,超棒,"原本订的两天
入住了一天，下午一点多临时改变了行程
酒店也爽快的同意了
入住当天是凌晨
前台小王也没有一点懈怠
很满意
过条小马路就是翠湖公园了，位置没得说",2026/5/1 0:00,2026/5/31 20:08,商务城景双床房,0,,,,,,14,https://dimg04.c-ctrip.com/images/0206y1200093jha2e8811_C_130_130_Q70.jpg,CN,5
1967004603,404956,昆明中维翠湖宾馆,全球量版,5,超棒,老牌酒店，中规中矩,2026/5/1 0:00,2026/5/31 12:50,商务城景大床房,0,,,,,,48,https://dimg04.c-ctrip.com/images/1me3t12000rjrwzne126A_C_130_130_Q70.jpg,CN,5
1968962901,404956,昆明中维翠湖宾馆,飘_雨,5,超棒,入住昆明翠湖宾馆几天，整体很满意。老牌酒店自带沉稳气质，住宿条件在线，房间干净舒适。紧邻翠湖，环境清幽出行也方便，是一次惬意的入住体验。,2026/5/1 0:00,2026/6/1 17:13,商务城景双床房,0,,,,,,3,https://dimg04.c-ctrip.com/images/27c2112000na9j9p95174_C_130_130_Q70.jpg,CN,5
1967948211,404956,昆明中维翠湖宾馆,sun131,5,超棒,"设施：老牌子五星酒店，设施有点老，但感觉很舒服
环境：离翠湖踏脚就到，位置非常好
连住享·早餐:早饭的米线非常好吃，各种料非常好，比外面好吃很多。
寝前饮品:晚上送的银耳汤很好喝，口感好",2026/5/1 0:00,2026/5/31 22:59,商务城景大床房,0,,,,,,3,https://dimg04.c-ctrip.com/images/27c3u12000na9j5gpFBB6_C_130_130_Q70.jpg,CN,5
1968411527,404956,昆明中维翠湖宾馆,205181****,5,超棒,环境地段很好，下面就是翠湖公园。离古城及火车站很近。,2026/5/1 0:00,2026/6/1 10:19,商务城景大床房,0,,,,,,5,https://dimg04.c-ctrip.com/images/27c2f12000na9jaezFEED_C_130_130_Q70.jpg,CN,5
1966184444,404956,昆明中维翠湖宾馆,匿名用户,5,超棒,"Fantastic overall stay with an ideal location steps from Kunming Cuihu Lake. Lots of dining options nearby, and grabbing taxis to local attractions is effortless.
 
This is a time-honored vintage hotel with older styling, though room amenities work well. The front desk team delivered thoughtful service—they upgraded our room after learning my wife is pregnant, and suggested a unit with a separate walk-in shower to avoid slippery bathtubs. Small flaw: the shower head has excessively high water pressure and is hard to maneuver.

Huge appreciation to all attentive front desk staff for their warm assistance, especially 小鹏 丹丹 and 佳佳. Will def consider rebook if I visit Kunming again!",2026/5/1 0:00,2026/5/30 17:48,商务城景大床房,0,https://images4.c-ctrip.com/images/0232h12000sn9nolo5672_R_150_150_R5_Q70_D.jpg; https://images4.c-ctrip.com/images/0233v12000sn9rkca3820_R_150_150_R5_Q70_D.jpg; https://images4.c-ctrip.com/images/0232x12000sn9syno7257_R_150_150_R5_Q70_D.jpg; https://images4.c-ctrip.com/images/0232j12000sn9ubabA20A_R_150_150_R5_Q70_D.jpg,,,,,8,https://dimg04.c-ctrip.com/images/0206y1200093jha2e8811_C_130_130_Q70.jpg,en,5
1964521125,404956,昆明中维翠湖宾馆,M309498****,3.2,,配套老化，六百多一晚，莲蓬严重老化，洗漱不方便。这个价格不值得再来。,2026/5/1 0:00,2026/5/29 15:18,商务城景大床房,0,,,尊敬的宾客您好！非常抱歉本次入住未能让您满意，也深感愧疚在宾馆70周年之际，没能为您呈现最好的状态。针对您反馈的莲蓬老化、洗漱不便及配套设施问题，我们已第一时间开展专项检修与升级，坚决杜绝此类问题再次出现。70年来，正是宾客们的坦诚反馈，支撑着我们不断改进。您的意见对我们尤为珍贵，若您愿意再给我们一次机会，可随时联系我们，我们将为您提供专属服务，让您亲身感受翠湖宾馆的诚意与改变。祝您生活愉快！,2026/5/29 0:00,发布于云南,5,https://dimg04.c-ctrip.com/images/27c3u12000na9j5gpFBB6_C_130_130_Q70.jpg,CN,5
1967745281,404956,昆明中维翠湖宾馆,e****,5,超棒,接近翠湖是最大亮点，房间床品干净整洁无异味，但枕头很不舒服，自助早餐种类丰富，但并没有什么特别好吃的，非常一般，服务很好，每天有送水果，还有送睡前银耳羹，连住三晚，床品不换也可以接受，但浴巾和擦手毛巾，在浴室框里都放了一晚了，第二天服务员又卷起来放好，感觉都是潮的，有点说不过去，虽说了之后有送新的过来，但后面一天感觉也还是没换。,2026/5/1 0:00,2026/5/31 18:47,商务城景双床房,0,https://images4.c-ctrip.com/images/0236q12000snmhke09482_R_150_150_R5_Q70_D.jpg; https://images4.c-ctrip.com/images/0230312000snmd83l3F90_R_150_150_R5_Q70_D.jpg; https://images4.c-ctrip.com/images/0233y12000snm9t8mD8D3_R_150_150_R5_Q70_D.jpg; https://images4.c-ctrip.com/images/0234212000snmhd8wB017_R_150_150_R5_Q70_D.jpg,,,,,7,https://dimg04.c-ctrip.com/images/27c4e12000na9jmx5FB30_C_130_130_Q70.jpg,CN,5
1963861473,404956,昆明中维翠湖宾馆,_M1381792****,4.8,超棒,位置绝佳，出行便利，设施齐全，服务态度绝佳，看我们一家人，主动送我们一份早餐。每天会送水果、晚安甜品，桃胶特别好喝，中餐厅的菜出品也非常有水准。唯一的不足就是床太软了，不大习惯。,2026/5/1 0:00,2026/5/28 18:24,商务城景双床房,0,,,尊敬的宾客您好！非常感谢您的暖心评价与认可。恰逢翠湖宾馆70周年之际，能为您一家提供贴心周到的服务，送上早餐、每日果点与晚安甜品，让您感受宾至如归的温暖，我们倍感荣幸。您的满意是对我们最大的鼓励，我们会继续以70年沉淀的匠心打磨每一处细节，期待您再次光临，解锁更多美好体验！,2026/5/29 0:00,发布于云南,6,https://dimg04.c-ctrip.com/images/27c0712000na9ji5b4486_C_130_130_Q70.jpg,CN,5
